"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments","Site_ID","quality_score","quality_rank"
"Plzeň-Roudná","NA","ABP Tishnovian","ABPTishn_BOMO",23,13.381666,49.7625,"na","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Vencl 1988","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Bohemia and Moravia","BOMO","NA","Pilsen",3,2
"Kůlna Cave","layer 3","Mesolithic","Meso_BOMO",4,16.737777,49.408333,"11931-11329","14C","Problematic","Cave","Stratified","Secondary/relocated","Mixed","Preseved","1950-1980","Valoch 1988,Valoch and Neruda 2005","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Bohemia and Moravia","BOMO","NA","Kulna3",1,3
"Kašėtos","NA","Hamburgian","Ham_LT",2,24.59,54.08,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2002,2005a,2016","NA","x","NA","NA","NA","NA","NA","NA","NA","x","NA","NA","Lithuania","LT","The lithic collection are very scarce, collected from surface, therefore besides armatures and two borers no other finds were identified for this tax unit","Kasetos1",0,3
"Margiai Island","NA","Hamburgian","Ham_LT",2,24.69,54.03,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2002,2005a,2016","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Lithuania","LT","The lithic collection are very scarce, collected from surface, therefore besides armatures and one blade scraper no other finds were identified for this tax unit","MargiaiIsland",0,3
"Maksimonys 1","NA","Hamburgian","Ham_LT",2,24.16,54.16,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2002,2005a,2016","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lithuania","LT","The lithic collection are very scarce, collected from surface, therefore besides three fragmentary armatures with thick whitish patina no other finds were identified for this tax unit","Maksimonys1",0,3
"Ežerynas 11","NA","Federmesser","Feder_LT",23,23.95,54.19,"13,000-12,000","Typology","Problematic","Openair","Stratified","Secondary/relocated","Mixed","No","1980-2000","Šatavičius 2005a,2016","NA","NA","NA","NA","NA","x","x","NA","NA","NA","NA","NA","Lithuania","LT","Very scarce collection from mixed site. Only several fragments of lithics were ascribed with this assemblages","Ezerynas11",2,3
"Parupė","NA","Brommean","Brom_LT",3,24.76,56.4,"13,000-12,000","C14","Problematic","Openair","Surface","Secondary/relocated","Mixed","Preseved","After 2000","Girininkas et al. 2016,Rmkus and Girininkas 2021 (submitted)","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Lithuania","LT","Surface collection of lithic finds characteristic to the Late Palaeolithic. The reindeer antler axe dated to 11 170±40 BP was found close to the lithic assemblage, however it lacks direct find context with lithics.","Parupe1",2,3
"Maskauka 6","NA","Brommean","Brom_LT",3,24.63,54.29,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2004","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Lithuania","LT","Surface collection of small assemblages that author ascribed to the Brommian group.","Maskauka6",0,3
"Mergežeris 8","NA","Brommean","Brom_LT",3,24.5,54.19,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2004","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Lithuania","LT","Small surface collection of lithics.","Mergezeris8",0,3
"Ežerynas 9","NA","Brommean","Brom_LT",3,23.97,54.2,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2004,2016","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lithuania","LT","The site was located at first with surface finds and only later excavated, however it did not revealed wider Brommian assemblages.","Ezerynas9u16u17",0,3
