"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments","Site_ID","quality_score","quality_rank"
"Rascaño","Unit 2","Final Magdalenian","FMag_IBC",1,-3.7001,43.2971,"14,900-13,800P","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Gonzlaez Echegaray and Barandiarán 1981","NA","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","Rascanolevel2",4,2
"Santimamiñe","Lnc","Final Magdalenian","FMag_IBC",1,-2.6371,43.3453,"15,400-15,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Lopez Quintana et al. 2011","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","SantimamineSlnc",6,1
"El Horno","Level 2","Final Magdalenian","FMag_IBC",1,-3.44817,43.25969,"15,000-13,800","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Fabio et al. 2020","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",6,1
"La Pila","IV-2","Final Magdalenian","FMag_IBC",1,-4.0148,43.4318,"14,800-13,700","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Gutiérrez 1998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",5,1
"Abauntz","2r","Final Magdalenian","FMag_IBC",1,-1.63223,43.01151,"14,900-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Utrilla 1982","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",5,1
"Anton Koba","Unit VIII","Azilian","PAzil_IBC",2,-2.41147,42.99996,"14,800-12,900","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Armendáriz Gutiérrez 1997","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","AntonKobaVIII",5,1
"La Pila","Unit III","Azilian","PAzil_IBC",2,-4.0148,43.4318,"13,700-13,400","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Gutiérrez 1998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",5,1
"Oscura de Ania","Unit 0b","Azilian","PAzil_IBC",2,-5.97633,43.40515,"14,300-13,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Adán Álvarez et al. 1999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",4,2
"El Mirón","Unit 11.1","Azilian","PAzil_IBC",2,-3.44991,43.2515,"13,900-13,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","González Morales and Straus 2012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",6,1
"Balma Margineda","Units 8-10","Azilian","PAzil_IBC",2,1.52794,42.48281,"13,700-13,00","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Guilaine and Martzluff 1995","NA","x","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",5,1
"Los Azules","Unit 3cs","Azilian","EAzil_IBC",3,-4.94124,43.38246,"12,900-12,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Fernández-Tresguerres 1980","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Cantabrian Spain","IBC","NA","LosAzules3,LosAzulesUnit3",5,1
"Portugain","Unit 1","Azilian","EAzil_IBC",3,-2.20106,42.86212,"12,500-11,800","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Cava and Barandiarán 2008,Aguirre 2008","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",5,1
"Urratxa III","Unit II","Azilian","EAzil_IBC",3,-2.819,43.07141,"12,600-11,800","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Muñoz Salvatierra and Berganza 1997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",5,1
"La Riera","27 upper","Azilian","EAzil_IBC",3,-4.85779,43.42659,"12,800-12,200","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Straus and Clark 1986","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",5,1
"Balma Margineda","Unit 7sup","Azilian","EAzil_IBC",3,1.52794,42.48281,"12,600-11,700","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Guilaine et al. 2008,Martzluff et al., 2012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","BalmaMarginedaUnit7sup",5,1
"Abrigo del Perro","Unit 2a","Azilian","LAzil_IBC",4,-3.43338,43.45226,"12,400-11,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Gonzalez Morales and Casado 1991-1992","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","Perro2",5,1
"Santimamiñe","Arcp","Azilian","LAzil_IBC",4,-2.6371,43.3453,"11,900-11,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Lopez Quintana et al. 2011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",6,1
"Oscura de Ania","NA","Azilian","LAzil_IBC",4,-5.97633,43.40515,"11,100-10,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Adán Álvarez et al. 1999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",4,2
"Ekain","Ivbase/V","Azilian","LAzil_IBC",4,-2.25172,43.24041,"11,200-10,200","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Altuna and Merino 1984","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",4,2
"Molí del Salt","Unit B2","Final Magdalenian","FMag_IBM",1,1.06605,41.3847,"15,100-14,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vaquero 2004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",6,1
"Parco","Unit II","Final Magdalenian","FMag_IBM",1,0.95454,41.92119,"15,000-14,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Langlais 2007,Mangado et al. 2006","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","ParcoII",5,1
"Forcas 1","Unit 14","Final Magdalenian","FMag_IBM",1,0.34015,42.17901,"15,200-14,600","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Utrilla and Mazo 2014,Utrilla et al. 2014","NA","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Mediterranean Iberia","IBM","NA","Forcas,Forcaslevel14",5,1
"Cendres","Unit IX","Final Magdalenian","FMag_IBM",1,0.14636,38.68683,"15,000-14,200","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Villaverde and Román 2005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Santa Maira","Unit 5","Final Magdalenian","FMag_IBM",1,-0.19785,38.74493,"14,500-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vadillo and Aura 2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",6,1
"Nerja","Mina 16","Final Magdalenian","FMag_IBM",1,-3.78748,36.74455,"14,800-13,600","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Aura et al. 2013","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Tossal de la Roca","Unit II int","Final Magdalenian","FMag_IBM",1,-0.26279,38.78106,"14,500-14,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Cacho et al. 1995,Cacho and Martos 2004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Peña de Estebanvela","Unit III","Final Magdalenian","FMag_IBM",1,-3.3366,41.3619,"14,700-14,100","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Cacho 2013","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",6,1
"Atxoste","h2","Final Magdalenian","FMag_IBM",1,-2.4731,42.7575,"15,100-14,300","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Alday and Cava 2009,Soto 2014,Soto et al. 2015","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",6,1
"Balma de Guilanya","K","Azilian","PAzil_IBC",1,1.6034,42.0812,"14,800-14,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Martinez Moreno and Mora 2009","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",6,1
"Chaves","Niveles 2b y 1c","Upper Magdalenian","FMag_IBM",1,-0.1527,42.2242,"15,200-14,100","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Utrilla and Laborda 2018","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Molí del Salt","Unit B1","Epipaleolithic/Epimagdalenian","EMag_IBM",2,1.06605,41.3847,"14,000-13,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vaquero 2004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",6,1
"Santa Maira","SM-4.2","Epipaleolithic/Epimagdalenian","EMag_IBM",2,-0.19785,38.74493,"13,900-13,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vadillo and Aura 2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",6,1
"Balma de Guilanya","Unit Ej","Azilian","PAzil_IBC",2,1.57798,42.05196,"14,200-13,900","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Martinez Moreno and Mora 2009","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",6,1
"Hort de la Boquera","Unit II","Epipaleolithic/Epimagdalenian","EMag_IBM",2,0.7561,41.2896,"13,800-13,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","García Argüelles et al. 2014","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","HortdelaBoquera",6,1
"Roureda","II","Epipaleolithic/Epimagdalenian","EMag_IBM",2,-0.23087,40.42109,"13,300-13,100","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Román 2012","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","Roureda",6,1
"Cingle de l'Aigua","Unit II","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",3,0.15444,40.5285,"12,700-12,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Román 2011","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","CingledelAigua",6,1
"Balma de Guilanya","E","Azilian","PAzil_IBC",3,1.6034,42.0812,"12,900-12,700","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Martinez Moreno and Mora 2009","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","NA",6,1
"Socuevas","Unit III","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",3,-2.92849,42.80759,"12,600-12,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Piedrabuena-Fernández 2018","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Filador","error","Epipaleolithic/Epimagdalenian","EMag_IBM",3,0.7638,41.27745,"12,800-12,600","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","García-Argüelles et al. 2005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Peña 14","Level d","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",3,-0.93779,42.37476,"12,700-12,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Soto et al. 2016","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","Pena14",6,1
"Cova dels Blaus","Uniy IVC-ly1-3","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",3,-0.22837,39.85606,"12,700-12,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Casabó 2012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Parco","I asup","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",3,0.95454,41.92119,"12,600-11,900","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Langlais 2007; Mangado et al. 2006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Balma de Gai","Unit I.3","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",4,2.12615,41.82863,"12,400-11,600","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","García-Argüelles et al. 2009","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",6,1
"Filador","Unit 6/5","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",4,0.7638,41.27745,"11,900-11,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","García-Argüelles et al. 2005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",5,1
"Filador","Unit 4","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",4,0.7638,41.27745,"11,900-11,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","García-Argüelles et al. 2005","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","Filador4",5,1
"Atxoste","Unit Vib","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",4,-2.4731,42.7575,"11,200-10,700","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Alday and Cava 2009,Soto 2014,Soto et al. 2015","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","AtxosteVIb",6,1
"Santa Maira","Unit 4.1","Sauveterrian/Sauveterroid Epipaleolithic","Sauv_IBM",4,-0.19785,38.74493,"11,500-10,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vadillo and Aura 2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mediterranean Iberia","IBM","NA","NA",6,1
"Lapa dos Coelhos","SU 4","Upper Magdalenian","UMag_IBA",1,-8.6154,39.5046,"14,400-13,900","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Gameiro et al. 2020","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Atlantic Iberia","IBA","NA","LapadosCoelhos4",6,1
"Lapa do Picareiro","F/G","Upper Magdalenian","UMag_IBA",1,-8.64804,39.52889,"14,800-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Holst 2017","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Atlantic Iberia","IBA","NA","NA",6,1
"Lapa dos Coelhos","SU 3","Final Magdalenian","FMag_IBA",2,-8.6154,39.5046,"13,600-13,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Gameiro et al. 2020,Gameiro 2012","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Atlantic Iberia","IBA","NA","LapadosCoelhos3,LapadosCoelhosUS3",6,1
"Fariseu","Unit 4","Azilian","EAzil_IBA",3,-7.1088,41.0411,"12,600-12,200","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Gameiro et al. 2020,Gameiro 2012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Atlantic Iberia","IBA","NA","Fariseu4",6,1
"Quinta da Barca do Sul","Unit 3 (UA8)","Azilian","EAzil_IBA",3,-7.1036,40.9974,"10,700-13,100","TL","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Aubry et al. 2017","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Atlantic Iberia","IBA","NA","NA",6,1
"Fariseu","Unit 4 (upper?)","Azilian","LAzil_IBA",4,-7.1088,41.0411,"11,700-10,700","C14/TL","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Gameiro et al. 2020,Gameiro 2012","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Atlantic Iberia","IBA","NA","FariseuSU4,FariseuUS4",6,1
"Abrigo das Bocas","NA","Azilian","LAzil_IBA",4,-8.96948173471,39.3457355218,"11,990-11282","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Mixed","indet","1980-2000","Bicho 1999","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Atlantic Iberia","IBA","NA","Bocas0",4,2
"Jels",1,"Havelte","Hav_SS",1,9.24,55.38,"14,300-14,100","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1980-2000","Holm and Rieck 1992","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Southern Scandinavia","SS","NA","Jels1",4,2
"Jels",2,"Havelte","Hav_SS",1,9.24,55.38,"14,300-14,100","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1980-2000","Holm and Rieck 1992","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Southern Scandinavia","SS","NA","Jels2",4,2
"Jels",3,"Havelte","Hav_SS",1,9.22,55.36,"14,300-14,100","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1980-2000","Holm and Rieck 1992","NA","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Southern Scandinavia","SS","NA","Jels3",4,2
"Krogsboelle","NA","Havelte","Hav_SS",1,11.16,54.84,"14,300-14,100","OSL","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","After 2000","Riede et al 2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","NA",3,2
"Soelbjerg","2/3","Havelte","Hav_SS",1,11.1,54.76,"14,300-14,100","Typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Petersen and Johansen 1991","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Soelbjerg2",2,3
"Slotseng","C","Havelte","Hav_SS",1,9.27,55.33,"14,300-14,100","C14","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Holm and Rieck 1992","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Southern Scandinavia","SS","NA","SlotsengC,Slotseng",3,2
"Langaa","NA","Federmesser","Feder_SS",2,9.9,56.4,"14,000-13,000","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Madsen 1983","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Langaa",4,2
"Loevenholm","NA","Brommean","Brom_SS",2,10.49,56.45,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","1980-2000","Madsen 1983","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Southern Scandinavia","SS","NA","Lovenholm",2,3
"Rundebakke","NA","Brommean","Brom_SS",2,11.75,55.06,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","FuglPetersen 1994","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Rundebakke",0,3
"EgtvedMark","NA","Federmesser","Feder_SS",2,9.28,55.63,"14,000-13,000","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Fischer 1988","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","NA",3,2
"Slotseng","B","Federmesser","Feder_SS",2,9.26,55.33,"14,000-13,000","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Holm and Rieck 1992","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","SlotsengB,Slotseng",4,2
"Slotseng","D","Federmesser","Feder_SS",2,9.26,55.33,"14,000-13,000","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Holm and Rieck 1992","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Slotseng",4,2
"HasseloeTvaervej","NA","Federmesser","Feder_SS",2,11.88,54.73,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","After 2000","VangPetersen 2006","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","HasseloeTvaervej",3,2
"Stoksbjerg","Vest","Federmesser","Feder_SS",2,11.89,55.28,"14,000-13,000","Typology","Problematic","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Johansson 2003","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","StoksbjergVest,StoksbjergVestI,StoksbjergVestIV",2,3
"Bromme","NA","Brommean","Brom_SS",3,11.5,55.49,"13,000-12,700","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","Before WW2","Mathiassen 1946","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Bromme",3,2
"Bro","NA","Brommean","Brom_SS",3,9.98,55.53,"13,000-12,700","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Andersen 1972","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Bro1,Bro2",3,2
"StoksbjergBro","NA","Brommean","Brom_SS",3,11.9,55.28,"13,000-12,700","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","BuckPedersen and BrinchPetersen 2006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","NA",4,2
"Skovmosen","NA","Brommean","Brom_SS",3,12.54,55.77,"13,000-12,700","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Eggers-Kaasetal 2019","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Skovmosen",1,3
"FeldinbjergBaek","NA","Brommean","Brom_SS",3,9.12,56.5,"13,000-12,700","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Riede 2012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","NA",1,3
"Trollesgave","NA","Brommean","Brom_SS",3,11.81,55.28,"13,000-12,700","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Fischer 1990; Fischer et al 2013","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Trollesgave",3,2
"Ellebjerg","NA","Ahrensburgian","Ahr_SS",4,11.41,55.67,"12,000-11,000","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","BuckPedersen 2009","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","NA",4,2
"Eskebjerg","NA","Ahrensburgian","Ahr_SS",4,11.7,55.07,"12,000-11,000","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","BuckPedersen 2009","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Eskebjerg",4,2
"Soelbjerg",1,"Ahrensburgian","Ahr_SS",4,11.09,54.76,"12,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Petersen and Johansen 1991","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Southern Scandinavia","SS","NA","Soelbjerg",1,3
"Dvaergebakke","NA","Ahrensburgian","Ahr_SS",4,9.35,56.18,"12,000-11,000","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Moebjerg 2005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","NA",5,1
"Barmose",1,"Maglemose","Magle_SS",4,11.89,55.05,"12,000-11,000","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1950-1980","Johansson 1990","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Southern Scandinavia","SS","NA","Barmosen1",3,2
"Klosterlund","NA","Maglemose","Magle_SS",4,9.35,56.19,"12,000-11,000","C14","Reliable","Openair","Surface","Primary/insitu","Mixed","No","Before WW2","Mathiassen 1937","NA","NA","NA","x","NA","NA","NA","x","x","NA","NA","x","Southern Scandinavia","SS","NA","Klosterlund",2,3
