"","Timeslice","TaxUnit","Region","Site","ShortImageRef","ToolClass","KnappingDirection","IMAGE","ARTEFACTNAME","SCALE","Timeslice_range_from","Timeslice_range_to","Long","Lat","length_cm","width_cm","area_cm2","perimeter_cm","calliper_cm","circularity","eccentricityeigen","AD","BC","amp","sym"
"56","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_8",0.033077,"1","1",4.95,50.22,5.1,2.04,8.36,13.24,5.2,2.81,0.19,0.875693703686998,2.09124679277079,2.96694049645778,0.29515040990289
"57","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_9",0.033077,"1","1",4.95,50.22,3.87,1.73,4.94,9.27,3.87,3.49,0.28,0.549898558726957,2.27301624228735,2.82291480101431,0.194798142164748
"58","TS2","Feder","BSN","MeerII","VanNotenEtAl1978","BR",NA,"TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1","TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1_pseudo_no_1",0.029847,"2","2",4.74,51.45,4.96,2.9,8.3,12.16,4.96,3.82,0.34,0.204165139069992,2.46968367918293,2.67384881825293,0.0763562762697226
"59","TS2","Feder","BSN","MeerII","VanNotenEtAl1978","BR",NA,"TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1","TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1_pseudo_no_10",0.029847,"2","2",4.74,51.45,3.31,1.46,3.49,7.83,3.33,3.48,0.26,0.483514681901508,2.25894124059109,2.74245592249259,0.176307184351042
"60","TS2","Feder","BSN","MeerII","VanNotenEtAl1978","BR",NA,"TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1","TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1_pseudo_no_11",0.029847,"2","2",4.74,51.45,2.57,0.77,1.34,5.88,2.58,2.28,0.1,0.24504013371998,2.30419807071726,2.54923820443724,0.0961228861600535
"61","TS2","Feder","BSN","MeerII","VanNotenEtAl1978","BR",NA,"TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1","TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1_pseudo_no_12",0.029847,"2","2",4.74,51.45,2.29,0.62,1.17,5.11,2.29,2.47,0.13,0.205948316123823,2.22792530745683,2.43387362358065,0.0846175060728246
"62","TS2","Feder","BSN","MeerII","VanNotenEtAl1978","BR",NA,"TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1","TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1_pseudo_no_2",0.029847,"2","2",4.74,51.45,3.38,1.76,3.79,8.42,3.42,3.3,0.28,0.38505051150888,2.43728561188928,2.82233612339816,0.136429714489595
"63","TS2","Feder","BSN","MeerII","VanNotenEtAl1978","BR",NA,"TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1","TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1_pseudo_no_3",0.029847,"2","2",4.74,51.45,3.34,2.12,4.67,8.89,3.42,4.75,0.46,0.425833340157861,2.45537643121338,2.88120977137124,0.147796715251037
"64","TS2","Feder","BSN","MeerII","VanNotenEtAl1978","BR",NA,"TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1","TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1_pseudo_no_4",0.029847,"2","2",4.74,51.45,3.11,1.05,2.33,6.96,3.11,2.75,0.17,0.359922337850076,2.26707469294028,2.62699703079035,0.137009038697615
"65","TS2","Feder","BSN","MeerII","VanNotenEtAl1978","BR",NA,"TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1","TS2_Feder_BSN_MeerII_VanNotenEtAl1978_BR_NA_1_pseudo_no_5",0.029847,"2","2",4.74,51.45,3.37,1.29,3.18,7.95,3.38,3.06,0.2,0.204530988473194,2.32098783155494,2.52551882002814,0.080985731268839
